city,Tract,Pct_1Car,Pct_2Car,PopulationDensity,EmploymentDensity,JobsNearby,EmploymentEntropy,Walkability
Acworth,13067030107,0.2040292595,0.7895686915,5.3104761045,0.2257085395,73071.0,0.766938092,6.166666666499999
,13067030107,0.2040292595,0.7895686915,5.3104761045,0.2257085395,73071.0,0.766938092,6.166666666499999
Kennesaw,13067030230,0.379801299,0.5800144315,3.985309729,1.780740422,81465.0,0.7576183304999999,8.4166666665
Bainbridge,13087970400,0.35976462475,0.47258501725,1.6180386255,0.83474858075,4551.0,0.587862674,7.49999999925
Bartow,13163960400,0.42554216725,0.391976554,0.325733797,0.0840554175,1913.75,0.464317315,5.083333333000001
Norman Park,13071970300,0.4131032637999999,0.3234234232,2.8053354598,0.4996098028,6380.0,0.433049669,6.9999999992
Berlin,13071970500,0.39636978,0.590082597,0.060361429,0.0070675324999999,3426.0,0.4756153939999999,3.4166666665000003
Moultrie,13071970400,0.4618571919999999,0.430491616,0.5428129673333334,1.1558355023333335,7165.333333333333,0.7213792423333333,6.944444444333333
Bloomingdale,13029920101,0.2872715185,0.6526088400000001,0.175000099,0.0362688715,7464.5,0.583902354,5.083333333500001
Eden,13029920101,0.2872715185,0.6526088400000001,0.175000099,0.0362688715,7464.5,0.583902354,5.083333333500001
Savannah,13029920101,0.2872715185,0.6526088400000001,0.175000099,0.0362688715,7464.5,0.583902354,5.083333333500001
Bronwood,13273120200,0.2837820055,0.6356280095,0.0141250069999999,0.0018950484999999,2714.0,0.323011773,3.0833333335
Brooks,13113140502,0.1373041019999999,0.8352038585,0.1786507465,0.0126351985,18701.0,0.6180173955,4.333333333
Buford,13139001607,0.2363868666666666,0.7415669286666667,1.738166833333333,1.3748189386666667,63091.66666666666,0.7285991186666667,7.777777777666667
Sugar Hill,13139001607,0.2363868666666666,0.7415669286666667,1.738166833333333,1.3748189386666667,63091.66666666666,0.7285991186666667,7.777777777666667
Duluth,13139001607,0.2363868666666666,0.7415669286666667,1.738166833333333,1.3748189386666667,63091.66666666666,0.7285991186666667,7.777777777666667
Flowery Branch,13139001605,0.1503810629999999,0.8288897500000001,1.449014641,0.1982578635,43824.0,0.6395800515,5.5
Cecil,13075960400,0.370165857,0.5238006593333333,0.4735085386666666,0.2298410729999999,3922.0,0.7058459413333334,6.111111112
Hahira,13075960400,0.370165857,0.5238006593333333,0.4735085386666666,0.2298410729999999,3922.0,0.7058459413333334,6.111111112
Valdosta,13075960400,0.370165857,0.5238006593333333,0.4735085386666666,0.2298410729999999,3922.0,0.7058459413333334,6.111111112
Lenox,13075960100,0.3169006119999999,0.6212630535,0.0610226355,0.00722041,2859.5,0.663734093,4.666666666499999
Chamblee,13089021208,0.2770700905,0.6610363295,5.10786238,4.3201925365000005,245792.0,0.6044312505,13.25
Atlanta,13089021208,0.2770700905,0.6610363295,5.10786238,4.3201925365000005,245792.0,0.6044312505,13.25
Brookhaven,13089021208,0.2770700905,0.6610363295,5.10786238,4.3201925365000005,245792.0,0.6044312505,13.25
Cohutta,13047030100,0.264361217,0.688534392,0.2148658485,0.01158083875,6878.5,0.41065741425,3.5416666665
Ringgold,13047030100,0.264361217,0.688534392,0.2148658485,0.01158083875,6878.5,0.41065741425,3.5416666665
Colquitt,13201950100,0.356834532,0.581294964,0.025071256,0.005356983,1118.0,0.839029989,6.166666667
East Ellijay,13123080300,0.3375389482499999,0.54536371,0.50871258675,0.24690458175,3509.5,0.71671469675,6.66666666675
Ellijay,13123080300,0.3375389482499999,0.54536371,0.50871258675,0.24690458175,3509.5,0.71671469675,6.66666666675
Elberton,13105000200,0.2770282623333333,0.6547974816666667,0.0541226903333333,0.0048198899999999,2761.6666666666665,0.3925023119999999,3.1666666666666665
Enigma,13155950200,0.4434210788333333,0.4479736573333333,1.0762529971666668,0.3345989621666667,3288.6666666666665,0.593388624,6.1111111105
Griffin,13151070501,0.293898445,0.6831292835,0.61598434,0.0849200089999999,27782.5,0.6851404045,6.0
Milledgeville,13009970701,0.3970596196666667,0.4130614463333333,2.270173768,0.6017199076666666,4912.333333333333,0.5830588536666667,8.388888888666665
Sandersville,13303950400,0.284849967,0.5844476977499999,0.94462331625,0.65501878925,2734.25,0.56483352875,6.29166666675
Concord,13231010400,0.262758621,0.723908046,0.122005562,0.0089383645,3979.5,0.6093819655,3.5
Hull,13059140400,0.402811792,0.5910532385,1.2151235455,0.633603395,21145.0,0.7519131960000001,6.25
Jesup,13305970200,0.4265894711999999,0.48432462,0.6003819228,0.2320202826,3186.6,0.4687512708,5.4333333334
Hinesville,13305970500,0.4128376905,0.49197584,2.02500023125,0.43844150125,4156.25,0.41342554075,7.583333333500001
Jonesboro,13063040521,0.379733343,0.5377444215,5.8040899575000005,0.285259543,138720.5,0.369414467,7.5
Lake Spivey,13063040521,0.379733343,0.5377444215,5.8040899575000005,0.285259543,138720.5,0.369414467,7.5
Lovejoy,13063040620,0.303345725,0.658736059,2.068944624,0.186612508,79080.0,0.459388805,5.833333333
Thomaston,13293010300,0.276076914,0.69152843,0.0672227635,0.0055421425,2254.5,0.3862709045,3.4166666665
Lincolnton,13181970100,0.28463461875,0.63559669725,0.10981978775,0.04689733,2843.75,0.56129787875,5.041666666999999
Louisville,13181970100,0.28463461875,0.63559669725,0.10981978775,0.04689733,2843.75,0.56129787875,5.041666666999999
Lithonia,13089023427,0.24025974,0.7480519485,2.321382856,0.062164567,97218.0,0.12580898,4.833333333
Stonecrest,13089023427,0.24025974,0.7480519485,2.321382856,0.062164567,97218.0,0.12580898,4.833333333
Manassas,13267950201,0.3777959704999999,0.552711275,0.3443850395,0.1848913805,3971.0,0.6390719765,5.666666666999999
Collins,13267950201,0.3777959704999999,0.552711275,0.3443850395,0.1848913805,3971.0,0.6390719765,5.666666666999999
Martin,13119890102,0.3088948066666666,0.6644315213333333,0.2557066423333333,0.0200453436666666,6358.0,0.763806309,5.5
Mitchell,13141480400,0.4365146702,0.433224625,0.0827751128,0.01507389244,884.0,0.2873304644,3.4333333334
Waco,13045910400,0.2850484436666666,0.6501261636666666,0.1650282643333333,0.0136853743333333,5735.666666666667,0.5743151763333333,4.111111111
Carrollton,13045910600,0.3712860676666666,0.5994399276666666,2.3979760223333333,2.0941548893333333,13434.333333333334,0.769096835,8.222222222333334
Lyons,13107970600,0.32274636975,0.56294572725,0.28042191475,0.224189511,3031.0,0.68822874525,7.125
Twin City,13107970600,0.32274636975,0.56294572725,0.28042191475,0.224189511,3031.0,0.68822874525,7.125
Oak Park,13107970300,0.2961568536666666,0.569594628,0.762471428,0.194991073,2541.6666666666665,0.52641353,5.777777778
Pembroke,13029980000,0.0,0.0,0.0,0.0,806.0,0.0,1.0
Pine Mountain,13145120198,0.23507368225,0.70848913775,0.4348508895,0.06941974875,5359.5,0.30730941225,4.25
Hamilton,13145120401,0.1926665615,0.8002579665,0.221127766,0.014664643,8088.5,0.6637285925,5.083333333500001
Pineview,13315960200,0.356140351,0.6,0.02296733,0.000766078,679.0,0.632272285,3.833333333
Plainville,13129970700,0.3188273726666666,0.6532463053333334,0.1915620556666666,0.03896354,8702.666666666666,0.3783221286666666,4.111111111
Richmond Hill,13029920303,0.3298510875,0.5984269215,4.5066707265,0.649621068,17091.5,0.7084613319999999,7.4166666665
Roopville,13045911200,0.26847614425,0.67257687325,0.174596695,0.0775151014999999,5332.25,0.54258030975,3.91666666675
Smyrna,13067031001,0.4620892663333333,0.385659782,4.057479576666666,2.980189542,116423.66666666669,0.6780490603333332,11.166666666666666
Marietta,13067031001,0.4620892663333333,0.385659782,4.057479576666666,2.980189542,116423.66666666669,0.6780490603333332,11.166666666666666
Mableton,13067031306,0.2878169105,0.6456309389999999,3.2011781585000003,0.8180112334999999,85898.0,0.852492978,10.9166666685
Tiger,13241970201,0.3660836626666666,0.5741363693333333,0.2417372973333333,0.1154192273333333,1073.0,0.7988170920000001,6.944444444333334
Ga,13185010604,0.3280019153333333,0.6533761106666667,0.9317687226666664,0.1831326216666666,10483.666666666666,0.6287970506666666,5.722222222333333
Lowndes,13185010900,0.586510264,0.2971041055,3.059622064,1.974993276,16830.0,0.778334861,9.25
Remerton,13185010900,0.586510264,0.2971041055,3.059622064,1.974993276,16830.0,0.778334861,9.25
Whigham,13087970100,0.2653840863333334,0.7060065876666667,0.039257864,0.0041055903333333,2734.0,0.327371349,2.888888888666667
Wrens,13163960100,0.3549322342,0.5352557908,0.3490502986,0.2384970268,3995.0,0.639564217,6.0999999994
